codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
1376-23-SE25,2025-01-14,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",COMERCIALIZADORA  SAN NICOLAS  SPA,17631160
711-28-SE25,2025-01-14,1,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",LITORALPRESS MEDIA DE INFORMACION S.A.,1983752
1969-22-SE25,2025-01-14,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region del Biobio,"Alimentos, bebidas y tabaco",GERMAN AQUILES CHAVEZ REYES,1040450
623-5-SE25,2025-01-14,1,SUBSECRETARIA DEL INTERIOR,Region Metropolitana de Santiago,"Servicios de Viajes, alimentación, alojamiento y entretenimiento",BLANCO VIAJES SPA,708348
1028897-9-SE25,2025-01-14,1,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Region de la Araucania,"Servicios de transporte, almacenaje y correo",AMILCAR ALFONSO LOYOLA CURAQUEO,1106000
3755-6-SE25,2025-01-14,1,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,Servicios de limpieza industrial,INVERSIONES ANDES SPA,9507115
870-14-SE25,2025-01-15,1,COMISION NACIONAL DE RIEGO,Region Metropolitana de Santiago,"Servicios de transporte, almacenaje y correo",MANGALA SPA,592437
1750-20-SE25,2025-01-15,1,DIRECCION NACIONAL DEL SERVICIO CIVIL,Region Metropolitana de Santiago,"Servicios profesionales, administrativos y consultorías de gestión empresarial",BS CONSULTORES SA,11573179
1376-24-SE25,2025-01-15,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",COMERCIALIZADORA  SAN NICOLAS  SPA,465500
5360-12-SE25,2025-01-15,1,UNIVERSIDAD DE TARAPACA,Region de Arica y Parinacota,Servicios de construcción y mantenimiento,AGROGESTION CONSULTORES LIMITADA,4175000
933-2-SE25,2025-01-15,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region del Biobio,"Servicios profesionales, administrativos y consultorías de gestión empresarial",PRODUCCIONES MARISOL INOSTROZA MUNOZ E.I.R.L.,16260504
5360-14-SE25,2025-01-15,1,UNIVERSIDAD DE TARAPACA,Region de Arica y Parinacota,"Equipos y suministros de defensa, orden público, protección y seguridad",ROSA MAGDALENA DE LOURDES HENRIQUEZ NAVARRETE,342000
1028897-7-SE25,2025-01-15,1,SERVICIO LOCAL DE EDUCACION COSTA ARAUCANIA,Region de la Araucania,"Servicios de transporte, almacenaje y correo",JOSE ANDRES CASTILLO CARTER,6445028
4620-3-SE25,2025-01-15,1,DIRECCION DEL TRABAJO,Region de Valparaiso,Servicios de limpieza industrial,CARLA ALEJANDRA CURIHUENTRO VERDUGO CONSTRUCCIONES E.I.R.L.,25370800
299-12-SE25,2025-01-15,1,INSTITUTO NACIONAL DE DEPORTES DE CHILE,Region de Los Rios,"Artículos para estructuras, obras y construcciones",COMERCIAL GERARDO SAAVEDRA CONCHA E.I.R.L.,14004000
5251-2035-SE24,2025-01-16,1,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Region Metropolitana de Santiago,Productos impresos y publicaciones,DIAGONAL LIBROS LIMITADA,721512
1411-26-SE25,2025-01-16,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Metropolitana de Santiago,Productos de papel,EDENRED CHILE SOCIEDAD ANONIMA,43696134
618923-11-CC25,2025-01-16,1,SUBSECRETARIA PARA LAS FUERZAS ARMADAS,Region Metropolitana de Santiago,"Tecnologías de la información, telecomunicaciones y radiodifusión",OPCIONES SA SISTEMAS DE INFORMACION,4421623
5520-252-SE25,2025-01-16,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",MANUFACTURAS RAC LIMITADA,557860
564162-73-SE25,2025-01-16,1,UNIVERSIDAD DE SANTIAGO DE CHILE,Region Metropolitana de Santiago,"Equipamiento para el acondicionamiento, distribución y filtrado de fluidos",TONELERIA FRANCESA DE CHILE LTDA,5584257
